source,slug,institution,news_partnership,story_count,corpus_file
The Columns-WC,the-columns,Westminster College,0,5,publication_corpora/the-columns.txt
The Daily Utah Chronicle,the-daily-utah-chronicle,University of Utah,0,15,publication_corpora/the-daily-utah-chronicle.txt
The Eagle Eye,the-eagle-eye,Commonwealth University of Pennsylvania-Lock Haven,0,15,publication_corpora/the-eagle-eye.txt
The Vantage,the-vantage,Newman University,0,15,publication_corpora/the-vantage.txt
The Watchdog,the-watchdog,Bellevue College,0,15,publication_corpora/the-watchdog.txt
Crosstown,crosstown,University of Southern California,1,14,publication_corpora/crosstown.txt
Milligan Stampede,milligan-stampede,Milligan University,0,14,publication_corpora/milligan-stampede.txt
My Site,my-site,Northampton County Area Community College,0,14,publication_corpora/my-site.txt
The Daily Orange,the-daily-orange,Syracuse University,0,14,publication_corpora/the-daily-orange.txt
The Hoya,the-hoya,Georgetown University,0,14,publication_corpora/the-hoya.txt
The Mount Observer,the-mount-observer,Mount Wachusett Community College,0,14,publication_corpora/the-mount-observer.txt
The Sunflower,the-sunflower,Wichita State University,0,14,publication_corpora/the-sunflower.txt
www.komu.com - RSS Results of type article with keyword(s) of #topstory,www-komu-com-rss-results-of-type-article-with-keyword-s-of-topstory,University of Missouri,1,14,publication_corpora/www-komu-com-rss-results-of-type-article-with-keyword-s-of-topstory.txt
270 Stories,270-stories,Murray State University,1,13,publication_corpora/270-stories.txt
Data Stories – CNS Maryland,data-stories-cns-maryland,University of Maryland-College Park,1,13,publication_corpora/data-stories-cns-maryland.txt
Kentucky Kernel,kentucky-kernel,University of Kentucky,0,13,publication_corpora/kentucky-kernel.txt
NewsLINC - Latest News,newslinc-latest-news,Vermont State University - Lyndon,0,13,publication_corpora/newslinc-latest-news.txt
USC Annenberg,usc-annenberg,DROP,,13,publication_corpora/usc-annenberg.txt
AUM,aum,Auburn University at Montgomery,0,12,publication_corpora/aum.txt
Arnolt Center for Investigative Journalism,arnolt-center-for-investigative-journalism,Indiana University-Bloomington,1,12,publication_corpora/arnolt-center-for-investigative-journalism.txt
El Vaquero,el-vaquero,Glendale Community College,0,12,publication_corpora/el-vaquero.txt
F Newsmagazine,f-newsmagazine,School of the Art Institute of Chicago,0,12,publication_corpora/f-newsmagazine.txt
News - F Newsmagazine,news-f-newsmagazine,School of the Art Institute of Chicago,0,12,publication_corpora/news-f-newsmagazine.txt
PantherNOW,panthernow,Florida International University,0,12,publication_corpora/panthernow.txt
THE CAROLINIAN,the-carolinian,University of North Carolina at Greensboro,0,12,publication_corpora/the-carolinian.txt
TMN,tmn,Truman State University,0,12,publication_corpora/tmn.txt
The Arapahoe Pinnacle,the-arapahoe-pinnacle,Arapahoe Community College,0,12,publication_corpora/the-arapahoe-pinnacle.txt
The Bachelor,the-bachelor,Wabash College,0,12,publication_corpora/the-bachelor.txt
The College VOICE,the-college-voice,Mercer County Community College,0,12,publication_corpora/the-college-voice.txt
The Daily Collegian,the-daily-collegian,Pennsylvania State University-Main Campus,0,12,publication_corpora/the-daily-collegian.txt
The Miami Hurricane,the-miami-hurricane,University of Miami,0,12,publication_corpora/the-miami-hurricane.txt
The Trail,the-trail,University of Puget Sound,0,12,publication_corpora/the-trail.txt
The Wood Word,the-wood-word,Marywood University,0,12,publication_corpora/the-wood-word.txt
Woodall Weekend Workshop Archives — Grady Newsource,woodall-weekend-workshop-archives-grady-newsource,University of Georgia,1,12,publication_corpora/woodall-weekend-workshop-archives-grady-newsource.txt
Community News - University Times,community-news-university-times,California State University-Los Angeles,1,11,publication_corpora/community-news-university-times.txt
DigitalCommons@Lesley,digitalcommons-lesley,DROP,,11,publication_corpora/digitalcommons-lesley.txt
The Battalion,the-battalion,Texas A&M University,0,11,publication_corpora/the-battalion.txt
The Daily Mississippian,the-daily-mississippian,University of Mississippi,0,11,publication_corpora/the-daily-mississippian.txt
The Heights,the-heights,Boston College,0,11,publication_corpora/the-heights.txt
https://kentstatenewslab.org/feed/,https-kentstatenewslab-org-feed,Kent State University,1,11,publication_corpora/https-kentstatenewslab-org-feed.txt
ACCENT,accent,Austin Community College District,,10,publication_corpora/accent.txt
ALCIVIA,alcivia,DROP,,10,publication_corpora/alcivia.txt
All the Lehigh University News First - The Brown and White,all-the-lehigh-university-news-first-the-brown-and-white,Lehigh University,0,10,publication_corpora/all-the-lehigh-university-news-first-the-brown-and-white.txt
Anchor,anchor,Hope College,0,10,publication_corpora/anchor.txt
Augustana Observer,augustana-observer,Augustana College,,10,publication_corpora/augustana-observer.txt
BCO Digital Report,bco-digital-report,DROP,,10,publication_corpora/bco-digital-report.txt
BCVoice,bcvoice,Bridgewater College,0,10,publication_corpora/bcvoice.txt
BG Falcon Media,bg-falcon-media,Bowling Green State University-Main Campus,0,10,publication_corpora/bg-falcon-media.txt
BHSU Media,bhsu-media,Black Hills State University,0,10,publication_corpora/bhsu-media.txt
BYU-Idaho Scroll,byu-idaho-scroll,Brigham Young University-Idaho,0,10,publication_corpora/byu-idaho-scroll.txt
Banner News,banner-news,Des Moines Area Community College,0,10,publication_corpora/banner-news.txt
Bear Media,bear-media,University of Central Arkansas,0,10,publication_corpora/bear-media.txt
Belmont Abbey College,belmont-abbey-college,Belmont Abbey College,0,10,publication_corpora/belmont-abbey-college.txt
BethelClarion.Com,bethelclarion-com,DROP,,10,publication_corpora/bethelclarion-com.txt
Blazer Media,blazer-media,University of Alabama at Birmingham,0,10,publication_corpora/blazer-media.txt
CCBC Connection,ccbc-connection,Community College of Baltimore County,0,10,publication_corpora/ccbc-connection.txt
CNCC | The Herald Times,cncc-the-herald-times,Colorado Northwestern Community College,0,10,publication_corpora/cncc-the-herald-times.txt
CT Community News,ct-community-news,Multi,1,10,publication_corpora/ct-community-news.txt
Cairn University,cairn-university,Cairn University-Langhorne,0,10,publication_corpora/cairn-university.txt
Calvin University Chimes,calvin-university-chimes,Calvin University,0,10,publication_corpora/calvin-university-chimes.txt
Camden County College Times,camden-county-college-times,Camden County College,0,10,publication_corpora/camden-county-college-times.txt
Campus Current,campus-current,Anne Arundel Community College,0,10,publication_corpora/campus-current.txt
Campus Echo Online,campus-echo-online,North Carolina Central University,0,10,publication_corpora/campus-echo-online.txt
Cardinal Points,cardinal-points,SUNY College at Plattsburgh,0,10,publication_corpora/cardinal-points.txt
Casper College Chinook,casper-college-chinook,Casper College,0,10,publication_corpora/casper-college-chinook.txt
Castleton Spartan,castleton-spartan,Vermont State University - Castleton,0,10,publication_corpora/castleton-spartan.txt
Cedars,cedars,Cedarville University,0,10,publication_corpora/cedars.txt
Chadron State College News,chadron-state-college-news,Chadron State College,0,10,publication_corpora/chadron-state-college-news.txt
Chaminade Silversword,chaminade-silversword,Chaminade University of Honolulu,0,10,publication_corpora/chaminade-silversword.txt
Chicago Maroon,chicago-maroon,University of Chicago,0,10,publication_corpora/chicago-maroon.txt
ChicagoTalks,chicagotalks,Columbia College Chicago,1,10,publication_corpora/chicagotalks.txt
Chronicle,chronicle,Shawnee State University,0,10,publication_corpora/chronicle.txt
City Newsroom,city-newsroom,Columbia University in the City of New York,1,10,publication_corpora/city-newsroom.txt
City Times,city-times,San Diego City College,0,10,publication_corpora/city-times.txt
City on a Hill Press,city-on-a-hill-press,University of California-Santa Cruz,0,10,publication_corpora/city-on-a-hill-press.txt
Communiqué,communiqu,Chatham University,0,10,publication_corpora/communiqu.txt
Concordiensis,concordiensis,Union College,0,10,publication_corpora/concordiensis.txt
Cooper Squared,cooper-squared,New York University,1,10,publication_corpora/cooper-squared.txt
CougMedia,cougmedia,Colorado Christian University,0,10,publication_corpora/cougmedia.txt
County College of Morris (CCM),county-college-of-morris-ccm,County College of Morris,0,10,publication_corpora/county-college-of-morris-ccm.txt
Courtbouillon,courtbouillon,Dillard University,0,10,publication_corpora/courtbouillon.txt
Coyote Student News at the College of Southern Nevada,coyote-student-news-at-the-college-of-southern-nevada,College of Southern Nevada,0,10,publication_corpora/coyote-student-news-at-the-college-of-southern-nevada.txt
Creightonian,creightonian,Creighton University,0,10,publication_corpora/creightonian.txt
Crusader News,crusader-news,Seward County Community College,0,10,publication_corpora/crusader-news.txt
Daily Emerald,daily-emerald,University of Oregon,0,10,publication_corpora/daily-emerald.txt
Daily Sundial,daily-sundial,California State University-Northridge,0,10,publication_corpora/daily-sundial.txt
Davidsonian,davidsonian,Davidson College,0,10,publication_corpora/davidsonian.txt
Daytona State In Motion,daytona-state-in-motion,Daytona State College,0,10,publication_corpora/daytona-state-in-motion.txt
Delta Collegiate,delta-collegiate,Delta College,0,10,publication_corpora/delta-collegiate.txt
Democracy Watch,democracy-watch,Florida Gulf Coast University,1,10,publication_corpora/democracy-watch.txt
District,district,Savannah College of Art and Design,0,10,publication_corpora/district.txt
Doaneline,doaneline,Doane University,0,10,publication_corpora/doaneline.txt
ECC Cornerstone,ecc-cornerstone,East Central College,0,10,publication_corpora/ecc-cornerstone.txt
ENMU The Chase Online,enmu-the-chase-online,Eastern New Mexico University-Main Campus,0,10,publication_corpora/enmu-the-chase-online.txt
EU Valor Media News,eu-valor-media-news,Evangel University,0,10,publication_corpora/eu-valor-media-news.txt
Eagle Media,eagle-media,Florida Gulf Coast University,0,10,publication_corpora/eagle-media.txt
East Tennessean,east-tennessean,East Tennessee State University,0,10,publication_corpora/east-tennessean.txt
El Camino College The Union,el-camino-college-the-union,El Camino Community College District,0,10,publication_corpora/el-camino-college-the-union.txt
Emmanuel College The Hub,emmanuel-college-the-hub,Emmanuel College,0,10,publication_corpora/emmanuel-college-the-hub.txt
Exponent,exponent,University of Wisconsin-Platteville,0,10,publication_corpora/exponent.txt
FAU University Press,fau-university-press,Florida Atlantic University,0,10,publication_corpora/fau-university-press.txt
Flat Hat News,flat-hat-news,William & Mary,0,10,publication_corpora/flat-hat-news.txt
Flourishing Fresno,flourishing-fresno,California State University-Fresno,0,10,publication_corpora/flourishing-fresno.txt
Flyer News: Univ. of Dayton's Student Newspaper,flyer-news-univ-of-dayton-s-student-newspaper,University of Dayton,0,10,publication_corpora/flyer-news-univ-of-dayton-s-student-newspaper.txt
Fourth Estate,fourth-estate,George Mason University,0,10,publication_corpora/fourth-estate.txt
Fresh Take Georgia,fresh-take-georgia,Kennesaw State University,1,10,publication_corpora/fresh-take-georgia.txt
GC3 MEDIA,gc3-media,Garden City Community College,0,10,publication_corpora/gc3-media.txt
GWU-Today,gwu-today,Gardner-Webb University,0,10,publication_corpora/gwu-today.txt
Golden Gate Xpress,golden-gate-xpress,San Francisco State University,0,10,publication_corpora/golden-gate-xpress.txt
Grand Valley Lanthorn,grand-valley-lanthorn,Grand Valley State University,0,10,publication_corpora/grand-valley-lanthorn.txt
Herd Media,herd-media,Lipscomb University,0,10,publication_corpora/herd-media.txt
Hilltop News,hilltop-news,Corban University,0,10,publication_corpora/hilltop-news.txt
Hilltop Views,hilltop-views,Saint Edward's University,1,10,publication_corpora/hilltop-views.txt
Holmes Community College,holmes-community-college,Holmes Community College,0,10,publication_corpora/holmes-community-college.txt
Huntingdon College,huntingdon-college,Huntingdon College,0,10,publication_corpora/huntingdon-college.txt
Iron Blade,iron-blade,Ferrum College,0,10,publication_corpora/iron-blade.txt
Jag Media,jag-media,University of South Alabama,0,10,publication_corpora/jag-media.txt
Jaguar Student Media,jaguar-student-media,Governors State University,0,10,publication_corpora/jaguar-student-media.txt
KentStater,kentstater,Kent State University at Kent,0,10,publication_corpora/kentstater.txt
Keystone Newspaper,keystone-newspaper,Kutztown University of Pennsylvania,0,10,publication_corpora/keystone-newspaper.txt
Kirkwood Communiqué,kirkwood-communiqu,Kirkwood Community College,0,10,publication_corpora/kirkwood-communiqu.txt
KnightNews.com,knightnews-com,University of Central Florida,0,10,publication_corpora/knightnews-com.txt
Knightly News | Central Penn College’s Student News Organization,knightly-news-central-penn-college-s-student-news-organization,Central Penn College,0,10,publication_corpora/knightly-news-central-penn-college-s-student-news-organization.txt
LSU Cold Case Project,lsu-cold-case-project,Louisiana State University,1,10,publication_corpora/lsu-cold-case-project.txt
La Voz News,la-voz-news,De Anza College,0,10,publication_corpora/la-voz-news.txt
Le Provocateur,le-provocateur,Assumption University,0,10,publication_corpora/le-provocateur.txt
Lindenlink,lindenlink,Lindenwood University,0,10,publication_corpora/lindenlink.txt
Long Beach Current,long-beach-current,California State University-Long Beach,0,10,publication_corpora/long-beach-current.txt
Lumen,lumen,Viterbo University,0,10,publication_corpora/lumen.txt
MATC Times,matc-times,Milwaukee Area Technical College,0,10,publication_corpora/matc-times.txt
MMU Arches,mmu-arches,Mount Mary University,0,10,publication_corpora/mmu-arches.txt
MTSU Sidelines,mtsu-sidelines,Middle Tennessee State University,0,10,publication_corpora/mtsu-sidelines.txt
Mako News,mako-news,Nova Southeastern University,0,10,publication_corpora/mako-news.txt
Marquette Wire,marquette-wire,Marquette University,0,10,publication_corpora/marquette-wire.txt
Maryville Pawprint,maryville-pawprint,Maryville University of Saint Louis,0,10,publication_corpora/maryville-pawprint.txt
Massachusetts Daily Collegian,massachusetts-daily-collegian,University of Massachusetts-Amherst,0,10,publication_corpora/massachusetts-daily-collegian.txt
Massachusetts News Service,massachusetts-news-service,Endicott College,1,10,publication_corpora/massachusetts-news-service.txt
Mcccagora,mcccagora,Monroe County Community College,0,10,publication_corpora/mcccagora.txt
Mercyhurst,mercyhurst,DROP,,10,publication_corpora/mercyhurst.txt
Mesquite-News – Texas A&M University San Antonio,mesquite-news-texas-a-m-university-san-antonio,Texas A&M University-San Antonio,0,10,publication_corpora/mesquite-news-texas-a-m-university-san-antonio.txt
Miami Regionals Pulse News,miami-regionals-pulse-news,Miami University,0,10,publication_corpora/miami-regionals-pulse-news.txt
Mirror News,mirror-news,Henry Ford College,0,10,publication_corpora/mirror-news.txt
Muleskinner,muleskinner,University of Central Missouri,0,10,publication_corpora/muleskinner.txt
Mustang News,mustang-news,California Polytechnic State University-San Luis Obispo,0,10,publication_corpora/mustang-news.txt
My TJ Now,my-tj-now,Winthrop University,0,10,publication_corpora/my-tj-now.txt
Myclarionnews.com,myclarionnews-com,Lincoln University,0,10,publication_corpora/myclarionnews-com.txt
NCClinked,ncclinked,North Central College,0,10,publication_corpora/ncclinked.txt
NECC Observer,necc-observer,Northern Essex Community College,0,10,publication_corpora/necc-observer.txt
NEIU Independent,neiu-independent,Northeastern Illinois University,0,10,publication_corpora/neiu-independent.txt
NMSU Round Up,nmsu-round-up,New Mexico State University,0,10,publication_corpora/nmsu-round-up.txt
New University | UC Irvine,new-university-uc-irvine,University of California-Irvine,0,10,publication_corpora/new-university-uc-irvine.txt
News - Herd Media,news-herd-media,Lipscomb University,0,10,publication_corpora/news-herd-media.txt
News - KWUStudentMedia,news-kwustudentmedia,Kansas Wesleyan University,0,10,publication_corpora/news-kwustudentmedia.txt
News Archives - SXU Student Media,news-archives-sxu-student-media,Saint Xavier University,0,10,publication_corpora/news-archives-sxu-student-media.txt
News – Daily Sundial,news-daily-sundial,California State University-Northridge,0,10,publication_corpora/news-daily-sundial.txt
News – Luther College Chips,news-luther-college-chips,Luther College,0,10,publication_corpora/news-luther-college-chips.txt
News – Moraine Valley Community College,news-moraine-valley-community-college,Moraine Valley Community College,0,10,publication_corpora/news-moraine-valley-community-college.txt
News – The Crestiad,news-the-crestiad,Cedar Crest College,0,10,publication_corpora/news-the-crestiad.txt
News – The Insight,news-the-insight,Daemen University,0,10,publication_corpora/news-the-insight.txt
News-Register,news-register,Dallas College-North Lake,0,10,publication_corpora/news-register.txt
Northern Iowan,northern-iowan,University of Northern Iowa,0,10,publication_corpora/northern-iowan.txt
Northern Review,northern-review,Ohio Northern University,0,10,publication_corpora/northern-review.txt
Northern Star,northern-star,Northern Illinois University,0,10,publication_corpora/northern-star.txt
Observer,observer,Elgin Community College,0,10,publication_corpora/observer.txt
Occurrence,occurrence,Oakton Community College,0,10,publication_corpora/occurrence.txt
Online Only – Richland Student Media,online-only-richland-student-media,Dallas College-Richland,0,10,publication_corpora/online-only-richland-student-media.txt
Orange Media Network,orange-media-network,Oregon State University,0,10,publication_corpora/orange-media-network.txt
Oxford Observer,oxford-observer,Miami University-Oxford,1,10,publication_corpora/oxford-observer.txt
PCC Courier,pcc-courier,Pasadena City College,0,10,publication_corpora/pcc-courier.txt
PNW Pioneer,pnw-pioneer,Purdue University Northwest,0,10,publication_corpora/pnw-pioneer.txt
Patch Labs,patch-labs,DROP,,10,publication_corpora/patch-labs.txt
Pavement Pieces,pavement-pieces,New York University,1,10,publication_corpora/pavement-pieces.txt
Peace Times Media,peace-times-media,William Peace University,0,10,publication_corpora/peace-times-media.txt
Penmen Press,penmen-press,Southern New Hampshire University,0,10,publication_corpora/penmen-press.txt
Philadelphia Neighborhoods,philadelphia-neighborhoods,Temple University,1,10,publication_corpora/philadelphia-neighborhoods.txt
Pima Post,pima-post,Pima Community College,0,10,publication_corpora/pima-post.txt
Pleasantville Press,pleasantville-press,Pace University,1,10,publication_corpora/pleasantville-press.txt
Point Park Globe,point-park-globe,Point Park University,0,10,publication_corpora/point-park-globe.txt
Prarie View A&M (pvpanther),prarie-view-a-m-pvpanther,Prairie View A & M University,0,10,publication_corpora/prarie-view-a-m-pvpanther.txt
QUTV,qutv,Quincy University,0,10,publication_corpora/qutv.txt
RMU Sentry Media,rmu-sentry-media,Robert Morris University,0,10,publication_corpora/rmu-sentry-media.txt
Reporter Magazine,reporter-magazine,Rochester Institute of Technology,0,10,publication_corpora/reporter-magazine.txt
Reveille,reveille,Louisiana State University,0,10,publication_corpora/reveille.txt
Richland Student Media,richland-student-media,Dallas College-Richland,0,10,publication_corpora/richland-student-media.txt
Roo News,roo-news,University of Missouri-Kansas City,0,10,publication_corpora/roo-news.txt
Royal Purple,royal-purple,University of Wisconsin-Whitewater,0,10,publication_corpora/royal-purple.txt
SAC Media,sac-media,Mt San Antonio College,0,10,publication_corpora/sac-media.txt
SM2,sm2,University of Southern Mississippi,0,10,publication_corpora/sm2.txt
SUU News,suu-news,Southern Utah University,0,10,publication_corpora/suu-news.txt
SWC The Sun Newspaper,swc-the-sun-newspaper,Southwestern College,0,10,publication_corpora/swc-the-sun-newspaper.txt
SXU Student Media,sxu-student-media,Saint Xavier University,0,10,publication_corpora/sxu-student-media.txt
San Francisco Foghorn,san-francisco-foghorn,University of San Francisco,0,10,publication_corpora/san-francisco-foghorn.txt
San Jacinto Times,san-jacinto-times,San Jacinto Community College,0,10,publication_corpora/san-jacinto-times.txt
Schoolcraft Connection,schoolcraft-connection,Schoolcraft Community College District,0,10,publication_corpora/schoolcraft-connection.txt
Signal,signal,California State University-Stanislaus,0,10,publication_corpora/signal.txt
Six Mile Post,six-mile-post,Georgia Highlands College,0,10,publication_corpora/six-mile-post.txt
Sonoma State Star,sonoma-state-star,Sonoma State University,0,10,publication_corpora/sonoma-state-star.txt
Southern News,southern-news,Southern Connecticut State University,0,10,publication_corpora/southern-news.txt
Spartan Echo,spartan-echo,Norfolk State University,0,10,publication_corpora/spartan-echo.txt
St. Norbert Times,st-norbert-times,Saint Norbert College,0,10,publication_corpora/st-norbert-times.txt
Stevenson Villager,stevenson-villager,Stevenson University,0,10,publication_corpora/stevenson-villager.txt
Stories by Outlook Student Press RCC on Medium,stories-by-outlook-student-press-rcc-on-medium,Rockland Community College,0,10,publication_corpora/stories-by-outlook-student-press-rcc-on-medium.txt
Stoutonia,stoutonia,University of Wisconsin-Stout,0,10,publication_corpora/stoutonia.txt
Student Life,student-life,Washington University in St Louis,0,10,publication_corpora/student-life.txt
Stylus,stylus,Park University,0,10,publication_corpora/stylus.txt
Sun News Daily,sun-news-daily,Utah Tech University,0,10,publication_corpora/sun-news-daily.txt
TCU 360,tcu-360,Texas Christian University,0,10,publication_corpora/tcu-360.txt
THE COLLEGIAN - News,the-collegian-news,Saint Mary's College of California,0,10,publication_corpora/the-collegian-news.txt
THE DEFIANCE COLLEGE DEFENDER,the-defiance-college-defender,Defiance College,0,10,publication_corpora/the-defiance-college-defender.txt
THE GANNON KNIGHT,the-gannon-knight,Gannon University,0,10,publication_corpora/the-gannon-knight.txt
THE HERALD,the-herald,Arkansas State University,0,10,publication_corpora/the-herald.txt
THE PACE CHRONICLE,the-pace-chronicle,Pace University,0,10,publication_corpora/the-pace-chronicle.txt
THE ROADRUNNER,the-roadrunner,Butte College,0,10,publication_corpora/the-roadrunner.txt
THE SOPHIAN,the-sophian,Smith College,0,10,publication_corpora/the-sophian.txt
THE WHITETOPPER - News,the-whitetopper-news,Emory & Henry College,0,10,publication_corpora/the-whitetopper-news.txt
THIELENSIAN,thielensian,Thiel College,0,10,publication_corpora/thielensian.txt
TU Campus Digest,tu-campus-digest,Tuskegee University,0,10,publication_corpora/tu-campus-digest.txt
Talon Marks,talon-marks,Cerritos College,0,10,publication_corpora/talon-marks.txt
Teaching & Learning,teaching-learning,Johnson County Community College,0,10,publication_corpora/teaching-learning.txt
Technician,technician,North Carolina State University at Raleigh,0,10,publication_corpora/technician.txt
Texas Center For Community Journalism,texas-center-for-community-journalism,Tarleton State University,1,10,publication_corpora/texas-center-for-community-journalism.txt
The A&T Register,the-a-t-register,North Carolina A & T State University,1,10,publication_corpora/the-a-t-register.txt
The Advance,the-advance,Stillman College,0,10,publication_corpora/the-advance.txt
The Advance-Titan,the-advance-titan,University of Wisconsin-Oshkosh,0,10,publication_corpora/the-advance-titan.txt
The Albion College Pleiad Online,the-albion-college-pleiad-online,Albion College,0,10,publication_corpora/the-albion-college-pleiad-online.txt
The All State,the-all-state,Austin Peay State University,0,10,publication_corpora/the-all-state.txt
The American River Current,the-american-river-current,American River College,0,10,publication_corpora/the-american-river-current.txt
The Andersonian,the-andersonian,Anderson University,0,10,publication_corpora/the-andersonian.txt
The Angler,the-angler,Lake-Sumter State College,0,10,publication_corpora/the-angler.txt
The Antelope,the-antelope,University of Nebraska at Kearney,0,10,publication_corpora/the-antelope.txt
The Arbiter,the-arbiter,Boise State University,0,10,publication_corpora/the-arbiter.txt
The Argo,the-argo,Stockton University,0,10,publication_corpora/the-argo.txt
The Argus,the-argus,Illinois Wesleyan University,0,10,publication_corpora/the-argus.txt
The Badger Herald,the-badger-herald,University of Wisconsin,0,10,publication_corpora/the-badger-herald.txt
The Baker Orange,the-baker-orange,Baker University,0,10,publication_corpora/the-baker-orange.txt
The Banner,the-banner,California Baptist University,0,10,publication_corpora/the-banner.txt
The Bates Student,the-bates-student,Bates College,0,10,publication_corpora/the-bates-student.txt
The Behrend Beacon,the-behrend-beacon,Pennsylvania State University-Penn State Erie-Behrend College,0,10,publication_corpora/the-behrend-beacon.txt
The Belltower,the-belltower,Mount Aloysius College,0,10,publication_corpora/the-belltower.txt
The Bengal,the-bengal,Idaho State University,0,10,publication_corpora/the-bengal.txt
The Berkeley Beacon,the-berkeley-beacon,Emerson College,0,10,publication_corpora/the-berkeley-beacon.txt
The Blue & White Flash,the-blue-white-flash,Jackson State University,0,10,publication_corpora/the-blue-white-flash.txt
The Blue Banner,the-blue-banner,University of North Carolina at Asheville,0,10,publication_corpora/the-blue-banner.txt
The Bolt,the-bolt,University of New England,0,10,publication_corpora/the-bolt.txt
The Bowdoin Orient,the-bowdoin-orient,Bowdoin College,0,10,publication_corpora/the-bowdoin-orient.txt
The Brackety-Ack,the-brackety-ack,Roanoke College,0,10,publication_corpora/the-brackety-ack.txt
The Bradley Scout,the-bradley-scout,Bradley University,0,10,publication_corpora/the-bradley-scout.txt
The Bridge,the-bridge,Lewis and Clark Community College,0,10,publication_corpora/the-bridge.txt
The Bridge News,the-bridge-news,Texas A & M International University,0,10,publication_corpora/the-bridge-news.txt
The Broadside,the-broadside,Central Oregon Community College,0,10,publication_corpora/the-broadside.txt
The Brookhaven Courier,the-brookhaven-courier,Dallas College-Brookhaven,0,10,publication_corpora/the-brookhaven-courier.txt
The Brooklyn College Vanguard,the-brooklyn-college-vanguard,CUNY Brooklyn College,0,10,publication_corpora/the-brooklyn-college-vanguard.txt
The Bruin News,the-bruin-news,Kellogg Community College,0,10,publication_corpora/the-bruin-news.txt
The Buchtelite,the-buchtelite,University of Akron,0,10,publication_corpora/the-buchtelite.txt
The Bucknellian,the-bucknellian,Bucknell University,0,10,publication_corpora/the-bucknellian.txt
The Butler Collegian,the-butler-collegian,Butler University,0,10,publication_corpora/the-butler-collegian.txt
The CI View,the-ci-view,California State University-Channel Islands,0,10,publication_corpora/the-ci-view.txt
The Campus Times,the-campus-times,Campbellsville University,0,10,publication_corpora/the-campus-times.txt
The Campus Voice,the-campus-voice,Florida State College at Jacksonville,0,10,publication_corpora/the-campus-voice.txt
The Candor,the-candor,Benedictine University,0,10,publication_corpora/the-candor.txt
The Captain's Log,the-captain-s-log,Christopher Newport University,0,10,publication_corpora/the-captain-s-log.txt
The Carletonian,the-carletonian,Carleton College,0,10,publication_corpora/the-carletonian.txt
The Carroll News,the-carroll-news,John Carroll University,0,10,publication_corpora/the-carroll-news.txt
The Centurion,the-centurion,Bucks County Community College,0,10,publication_corpora/the-centurion.txt
The Century Times,the-century-times,Century College,0,10,publication_corpora/the-century-times.txt
The Chanticleer,the-chanticleer,Averett University,0,10,publication_corpora/the-chanticleer.txt
The Chart,the-chart,Missouri Southern State University,0,10,publication_corpora/the-chart.txt
The Chronicle,the-chronicle,College of Lake County,0,10,publication_corpora/the-chronicle.txt
The Circuit,the-circuit,Benedictine College,0,10,publication_corpora/the-circuit.txt
The Clackamas Print,the-clackamas-print,Clackamas Community College,0,10,publication_corpora/the-clackamas-print.txt
The Clerk,the-clerk,Haverford College,0,10,publication_corpora/the-clerk.txt
The Clipper,the-clipper,Everett Community College,0,10,publication_corpora/the-clipper.txt
The Clock,the-clock,Plymouth State University,0,10,publication_corpora/the-clock.txt
The Colgate Maroon-News,the-colgate-maroon-news,Colgate University,0,10,publication_corpora/the-colgate-maroon-news.txt
The Collegiate Live,the-collegiate-live,Grand Rapids Community College,0,10,publication_corpora/the-collegiate-live.txt
The Collegio,the-collegio,Pittsburg State University,0,10,publication_corpora/the-collegio.txt
The Comenian,the-comenian,Moravian University,0,10,publication_corpora/the-comenian.txt
The Comment,the-comment,Bridgewater State University,0,10,publication_corpora/the-comment.txt
The Communicator,the-communicator,Spokane Community College,0,10,publication_corpora/the-communicator.txt
The Correspondent,the-correspondent,Indiana University-Kokomo,0,10,publication_corpora/the-correspondent.txt
The Cougar Chronicle,the-cougar-chronicle,California State University-San Marcos,0,10,publication_corpora/the-cougar-chronicle.txt
The Courier,the-courier,College of DuPage,0,10,publication_corpora/the-courier.txt
The Cowl,the-cowl,Providence College,0,10,publication_corpora/the-cowl.txt
The Crestiad,the-crestiad,Cedar Crest College,0,10,publication_corpora/the-crestiad.txt
The Criterion,the-criterion,Colorado Mesa University,0,10,publication_corpora/the-criterion.txt
The Critic,the-critic,Vermont State University - Lyndon,0,10,publication_corpora/the-critic.txt
The Crossover,the-crossover,Champlain College,0,10,publication_corpora/the-crossover.txt
The Crown,the-crown,King's College,0,10,publication_corpora/the-crown.txt
The Cuestonian,the-cuestonian,Cuesta College,0,10,publication_corpora/the-cuestonian.txt
"The Cypress Chronicle – A First Amendment Publication in Cypress, California",the-cypress-chronicle-a-first-amendment-publication-in-cypress-california,Cypress College,,10,publication_corpora/the-cypress-chronicle-a-first-amendment-publication-in-cypress-california.txt
The Daily Aztec,the-daily-aztec,San Diego State University,0,10,publication_corpora/the-daily-aztec.txt
The Daily Barometer,the-daily-barometer,Oregon State University,0,10,publication_corpora/the-daily-barometer.txt
The Daily Beacon,the-daily-beacon,The University of Tennessee,0,10,publication_corpora/the-daily-beacon.txt
The Daily Egyptian,the-daily-egyptian,Southern Illinois University,0,10,publication_corpora/the-daily-egyptian.txt
The Daily Evergreen,the-daily-evergreen,Washington State University,0,10,publication_corpora/the-daily-evergreen.txt
